ZoneId,MinLat,MinLng,MaxLat,MaxLng,Name,CreatedAt,UpdatedAt
1,34.56,32.3,34.660000000000004,32.4,Zone 1,2025-11-17 16:41:20.312479+00:00,
2,34.56,32.4,34.660000000000004,32.5,Zone 2,2025-11-17 16:41:20.312479+00:00,
3,34.56,32.5,34.660000000000004,32.6,Zone 3,2025-11-17 16:41:20.312479+00:00,
4,34.56,32.599999999999994,34.660000000000004,32.699999999999996,Zone 4,2025-11-17 16:41:20.312479+00:00,
5,34.56,32.699999999999996,34.660000000000004,32.8,Zone 5,2025-11-17 16:41:20.312479+00:00,
6,34.56,32.8,34.660000000000004,32.9,Zone 6,2025-11-17 16:41:20.312479+00:00,
7,34.56,32.9,34.660000000000004,33.0,Zone 7,2025-11-17 16:41:20.312479+00:00,
8,34.56,33.0,34.660000000000004,33.1,Zone 8,2025-11-17 16:41:20.312479+00:00,
9,34.56,33.099999999999994,34.660000000000004,33.199999999999996,Zone 9,2025-11-17 16:41:20.312479+00:00,
10,34.56,33.199999999999996,34.660000000000004,33.3,Zone 10,2025-11-17 16:41:20.312479+00:00,
11,34.56,33.3,34.660000000000004,33.4,Zone 11,2025-11-17 16:41:20.312479+00:00,
12,34.56,33.4,34.660000000000004,33.5,Zone 12,2025-11-17 16:41:20.312479+00:00,
13,34.56,33.5,34.660000000000004,33.6,Zone 13,2025-11-17 16:41:20.312479+00:00,
14,34.56,33.599999999999994,34.660000000000004,33.699999999999996,Zone 14,2025-11-17 16:41:20.312479+00:00,
15,34.56,33.699999999999996,34.660000000000004,33.8,Zone 15,2025-11-17 16:41:20.312479+00:00,
16,34.56,33.8,34.660000000000004,33.9,Zone 16,2025-11-17 16:41:20.312479+00:00,
17,34.56,33.9,34.660000000000004,34.0,Zone 17,2025-11-17 16:41:20.312479+00:00,
18,34.56,34.0,34.660000000000004,34.1,Zone 18,2025-11-17 16:41:20.312479+00:00,
19,34.56,34.099999999999994,34.660000000000004,34.1,Zone 19,2025-11-17 16:41:20.312479+00:00,
20,34.660000000000004,32.3,34.760000000000005,32.4,Zone 20,2025-11-17 16:41:20.312479+00:00,
21,34.660000000000004,32.4,34.760000000000005,32.5,Zone 21,2025-11-17 16:41:20.312479+00:00,
22,34.660000000000004,32.5,34.760000000000005,32.6,Zone 22,2025-11-17 16:41:20.312479+00:00,
23,34.660000000000004,32.599999999999994,34.760000000000005,32.699999999999996,Zone 23,2025-11-17 16:41:20.312479+00:00,
24,34.660000000000004,32.699999999999996,34.760000000000005,32.8,Zone 24,2025-11-17 16:41:20.312479+00:00,
25,34.660000000000004,32.8,34.760000000000005,32.9,Zone 25,2025-11-17 16:41:20.312479+00:00,
26,34.660000000000004,32.9,34.760000000000005,33.0,Zone 26,2025-11-17 16:41:20.312479+00:00,
27,34.660000000000004,33.0,34.760000000000005,33.1,Zone 27,2025-11-17 16:41:20.312479+00:00,
28,34.660000000000004,33.099999999999994,34.760000000000005,33.199999999999996,Zone 28,2025-11-17 16:41:20.312479+00:00,
29,34.660000000000004,33.199999999999996,34.760000000000005,33.3,Zone 29,2025-11-17 16:41:20.312479+00:00,
30,34.660000000000004,33.3,34.760000000000005,33.4,Zone 30,2025-11-17 16:41:20.312479+00:00,
31,34.660000000000004,33.4,34.760000000000005,33.5,Zone 31,2025-11-17 16:41:20.312479+00:00,
32,34.660000000000004,33.5,34.760000000000005,33.6,Zone 32,2025-11-17 16:41:20.312479+00:00,
33,34.660000000000004,33.599999999999994,34.760000000000005,33.699999999999996,Zone 33,2025-11-17 16:41:20.312479+00:00,
34,34.660000000000004,33.699999999999996,34.760000000000005,33.8,Zone 34,2025-11-17 16:41:20.312479+00:00,
35,34.660000000000004,33.8,34.760000000000005,33.9,Zone 35,2025-11-17 16:41:20.312479+00:00,
36,34.660000000000004,33.9,34.760000000000005,34.0,Zone 36,2025-11-17 16:41:20.312479+00:00,
37,34.660000000000004,34.0,34.760000000000005,34.1,Zone 37,2025-11-17 16:41:20.312479+00:00,
38,34.660000000000004,34.099999999999994,34.760000000000005,34.1,Zone 38,2025-11-17 16:41:20.312479+00:00,
39,34.760000000000005,32.3,34.86000000000001,32.4,Zone 39,2025-11-17 16:41:20.312479+00:00,
40,34.760000000000005,32.4,34.86000000000001,32.5,Zone 40,2025-11-17 16:41:20.312479+00:00,
41,34.760000000000005,32.5,34.86000000000001,32.6,Zone 41,2025-11-17 16:41:20.312479+00:00,
42,34.760000000000005,32.599999999999994,34.86000000000001,32.699999999999996,Zone 42,2025-11-17 16:41:20.312479+00:00,
43,34.760000000000005,32.699999999999996,34.86000000000001,32.8,Zone 43,2025-11-17 16:41:20.312479+00:00,
44,34.760000000000005,32.8,34.86000000000001,32.9,Zone 44,2025-11-17 16:41:20.312479+00:00,
45,34.760000000000005,32.9,34.86000000000001,33.0,Zone 45,2025-11-17 16:41:20.312479+00:00,
46,34.760000000000005,33.0,34.86000000000001,33.1,Zone 46,2025-11-17 16:41:20.312479+00:00,
47,34.760000000000005,33.099999999999994,34.86000000000001,33.199999999999996,Zone 47,2025-11-17 16:41:20.312479+00:00,
48,34.760000000000005,33.199999999999996,34.86000000000001,33.3,Zone 48,2025-11-17 16:41:20.312479+00:00,
49,34.760000000000005,33.3,34.86000000000001,33.4,Zone 49,2025-11-17 16:41:20.312479+00:00,
50,34.760000000000005,33.4,34.86000000000001,33.5,Zone 50,2025-11-17 16:41:20.312479+00:00,
51,34.760000000000005,33.5,34.86000000000001,33.6,Zone 51,2025-11-17 16:41:20.312479+00:00,
52,34.760000000000005,33.599999999999994,34.86000000000001,33.699999999999996,Zone 52,2025-11-17 16:41:20.312479+00:00,
53,34.760000000000005,33.699999999999996,34.86000000000001,33.8,Zone 53,2025-11-17 16:41:20.312479+00:00,
54,34.760000000000005,33.8,34.86000000000001,33.9,Zone 54,2025-11-17 16:41:20.312479+00:00,
55,34.760000000000005,33.9,34.86000000000001,34.0,Zone 55,2025-11-17 16:41:20.312479+00:00,
