VehicleId,Lat,Lng,UpdatedAt
e0e17a30-a643-47a0-b995-395f7bbdf89d,34.69,32.96,2025-11-17 16:41:20.312479+00:00
daaa027f-da98-4598-b522-c044fbe31d4b,34.69,32.96,2025-11-17 16:41:20.312479+00:00
32267b5f-3315-4b0a-b0cf-6e610a66bbef,34.69,32.96,2025-11-17 16:41:20.312479+00:00
3c71617e-4d2e-482a-bce6-d5ff3b580f79,34.69,32.96,2025-11-17 16:41:20.312479+00:00
9efe888a-263a-4949-8789-b8c9179f39fb,34.69,32.96,2025-11-17 16:41:20.312479+00:00
c79af0cc-6529-4032-b600-889375724121,34.69,32.96,2025-11-17 16:41:20.312479+00:00
835c5586-d4ac-46c4-b44e-799b2c98d452,34.69,32.96,2025-11-17 16:41:20.312479+00:00
527b9652-4897-4c92-8019-7d799a9413c9,34.69,32.96,2025-11-17 16:41:20.312479+00:00
abe33bd9-5102-4bf1-bad2-36229b4df32f,34.69,32.96,2025-11-17 16:41:20.312479+00:00
a6ef9c75-4008-4ed7-bedf-dba81f1330b8,34.69,32.96,2025-11-17 16:41:20.312479+00:00
5200f39c-c34e-47fc-98d7-1a0c7f6e9290,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ce01cd5a-d636-4e91-969a-071f37869ede,34.69,32.96,2025-11-17 16:41:20.312479+00:00
876f0536-399f-4a03-a602-4509a6971fd2,34.69,32.96,2025-11-17 16:41:20.312479+00:00
365179d3-c537-46fe-8f1b-80c4e5af7de6,34.69,32.96,2025-11-17 16:41:20.312479+00:00
203cb7f4-4a67-4ec1-b315-9437c0782363,34.69,32.96,2025-11-17 16:41:20.312479+00:00
61842db0-a54a-4838-a480-b459fe196b53,34.69,32.96,2025-11-17 16:41:20.312479+00:00
342a1af0-e197-4af6-b5e9-c8e2e718827a,34.69,32.96,2025-11-17 16:41:20.312479+00:00
b81a4357-4ac5-4e21-ae49-f0077ec75883,34.69,32.96,2025-11-17 16:41:20.312479+00:00
37c15d74-29f8-4af5-82a8-c7ab6a307961,34.69,32.96,2025-11-17 16:41:20.312479+00:00
f371552b-0e28-4750-ad06-b247aea11dc3,34.69,32.96,2025-11-17 16:41:20.312479+00:00
92d451c3-7df5-49eb-9d2e-e9a419c7fcbf,34.69,32.96,2025-11-17 16:41:20.312479+00:00
32691d33-7bc9-4d84-908f-1f390740c4e9,34.69,32.96,2025-11-17 16:41:20.312479+00:00
79788310-99da-449e-b21a-e79c6a5a45bb,34.69,32.96,2025-11-17 16:41:20.312479+00:00
5105890b-1ef1-41bc-b3cd-8ba8335bd667,34.69,32.96,2025-11-17 16:41:20.312479+00:00
f25dc953-0b65-4f85-b5a1-e54bdd23b7ea,34.69,32.96,2025-11-17 16:41:20.312479+00:00
741ad6db-fc8a-488d-942a-662ec0cd56a7,34.69,32.96,2025-11-17 16:41:20.312479+00:00
7000441c-1ba0-4e75-a6b3-a64c6e274a65,34.69,32.96,2025-11-17 16:41:20.312479+00:00
abec07ea-3763-4210-a3d0-d3d1d1f9e38f,34.69,32.96,2025-11-17 16:41:20.312479+00:00
b4a24f5c-e4e1-4b5b-b619-35f0dbde73ca,34.69,32.96,2025-11-17 16:41:20.312479+00:00
f36843ef-a5c3-4ef8-b4c8-82cfef6041cb,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ad306245-d7ae-41fe-923d-5881897b74c7,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ccd4b73c-c026-4d1e-9418-9ddde9a15e24,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ac4a09d5-b5fb-4e5b-95aa-c0d90edbdbfe,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ac27df2e-5e55-435e-9baf-6c05689ed52c,34.69,32.96,2025-11-17 16:41:20.312479+00:00
8359cacd-79d2-43b6-a011-4e8ffbb92fe8,34.69,32.96,2025-11-17 16:41:20.312479+00:00
17c499a9-6c47-4c3d-91e2-88f10d7e783b,34.69,32.96,2025-11-17 16:41:20.312479+00:00
c2db675a-b3f3-4b0c-a061-34ab1ed1625d,34.69,32.96,2025-11-17 16:41:20.312479+00:00
d0e32a3a-26bf-4d63-a205-9b82f3fe29e4,34.69,32.96,2025-11-17 16:41:20.312479+00:00
5754dc58-7306-457e-bf55-932f2aa871b5,34.69,32.96,2025-11-17 16:41:20.312479+00:00
95c11eb0-fa84-4a18-b98f-6788252bacf2,34.69,32.96,2025-11-17 16:41:20.312479+00:00
985a2f9b-ef60-4ebb-9b48-8186f8e43851,34.69,32.96,2025-11-17 16:41:20.312479+00:00
560c1f07-c7f9-4be9-90c6-ae5f954fbbd0,34.69,32.96,2025-11-17 16:41:20.312479+00:00
e24281fd-57ca-4b2d-894a-6b14492e1989,34.69,32.96,2025-11-17 16:41:20.312479+00:00
dc87e4cb-d1a4-4034-a0ff-4073ec71bc16,34.69,32.96,2025-11-17 16:41:20.312479+00:00
f1c3443b-5e21-487f-bc07-95b4fa41542f,34.69,32.96,2025-11-17 16:41:20.312479+00:00
0e9c5a7b-47eb-474f-8abe-1d128b633ebe,34.69,32.96,2025-11-17 16:41:20.312479+00:00
1e7080ff-446c-42cd-b905-10f004fc9c7c,34.69,32.96,2025-11-17 16:41:20.312479+00:00
7d573afe-9f2d-4598-a7a3-aa796fd469ff,34.69,32.96,2025-11-17 16:41:20.312479+00:00
85007703-792e-4359-b057-20d6263a73c9,34.69,32.96,2025-11-17 16:41:20.312479+00:00
70290186-40d0-408a-93b3-fb2dcf0c776e,34.69,32.96,2025-11-17 16:41:20.312479+00:00
b88fbf70-0a9c-4dce-8f75-bdafd7d54bc3,34.69,32.96,2025-11-17 16:41:20.312479+00:00
08778cb9-ccda-4bd2-b57c-e142072a4928,34.69,32.96,2025-11-17 16:41:20.312479+00:00
6a24511d-b341-4fdd-a2ce-8dc18c676a33,34.69,32.96,2025-11-17 16:41:20.312479+00:00
089e6431-43e7-4004-a83c-67c8342aab53,34.69,32.96,2025-11-17 16:41:20.312479+00:00
d606a8be-a1c5-49e9-9ba0-20c718361cf5,34.69,32.96,2025-11-17 16:41:20.312479+00:00
665a7051-5c5c-4f07-ba52-37498872a000,34.69,32.96,2025-11-17 16:41:20.312479+00:00
244cd3d9-f3cb-4f75-b596-a454258f94c1,34.69,32.96,2025-11-17 16:41:20.312479+00:00
7a4b6ce9-481c-4230-86dc-3b4cd9690c09,34.69,32.96,2025-11-17 16:41:20.312479+00:00
877085d1-7b18-4111-af79-8d75e2144d67,34.69,32.96,2025-11-17 16:41:20.312479+00:00
ad051aa0-4f3e-425b-8252-2842e30ffac5,34.69,32.96,2025-11-17 16:41:20.312479+00:00
3f27bbd8-04d3-4a39-bd9d-bfe67291bafa,34.69,32.96,2025-11-17 16:41:20.312479+00:00
af14b7c4-8640-4e3b-8d97-6a31ef190ed6,34.69,32.96,2025-11-17 16:41:20.312479+00:00
57b44417-f15a-4469-8d4c-771f0fb6375b,34.69,32.96,2025-11-17 16:41:20.312479+00:00
aa04b5bf-9d16-4095-8600-b3428d21fce3,34.69,32.96,2025-11-17 16:41:20.312479+00:00
be31a0a2-398e-4118-8648-c0af77a1682e,34.69,32.96,2025-11-17 16:41:20.312479+00:00
bef24fc0-082a-4e83-b319-492a5f3fe6c4,34.69,32.96,2025-11-17 16:41:20.312479+00:00
57ceb35a-c328-4cbd-b0a8-f469c165ee04,34.69,32.96,2025-11-17 16:41:20.312479+00:00
fb11239e-039c-4a35-be88-21475f3335e9,34.69,32.96,2025-11-17 16:41:20.312479+00:00
adb72459-28d0-4085-b573-f2b565b860a0,34.69,32.96,2025-11-17 16:41:20.312479+00:00
9349eda7-3a47-415d-8e75-d6b514efe24f,34.69,32.96,2025-11-17 16:41:20.312479+00:00
