UserPreferencesId,UserId,NotificationsEnabled,Language,LocEnabled,Timezone,PreferredPaymentMethod,CreatedAt,UpdatedAt
a7ae3f00-1ab3-4c0c-b86c-a8f44c09f8bf,34f1c5c2-2fd0-498f-82ee-2d7de9307f68,0,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
30c60a66-d2fc-4573-947e-9fbaa25a37c2,c71ee15e-d683-449d-9813-6c09e70eed60,1,el,1,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
15581d31-1140-42dd-8ccf-42f88b541951,fc86b733-dce6-42ff-9b6c-2027490db2cb,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
b6d1c846-2339-47b7-ad8b-facb4236c919,77f1a5b5-6c83-4c71-af03-cb6bdcb1279d,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
29bd01cf-09a7-4004-9796-1221a269cdda,8e5f2594-1d39-4985-ba4a-d9c8ce9e6cd3,1,el,1,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
466c9470-00b8-437e-af15-0cac618341cd,5d2c4934-60cc-4596-9d03-f3e53bf39b9c,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
721fbb49-4bf5-4201-8e71-ea4a854fb136,3e8a5e47-e941-4615-895c-6cf6a5c373de,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
35b417ba-5e32-4da2-9e67-4dfb7ec0a1c1,3f3c47a5-bf37-4bf9-a9a3-6d24e5ebe4dc,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
aae178ba-208d-49be-863e-5c5a41c0f15a,79314e33-364f-4e4d-8aa2-c1f63580d307,1,el,0,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
5ec95996-7b6a-483b-ba31-8cb10b576fb2,006f359b-c76b-44d9-b83a-c6f72df61a7a,1,el,1,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
cda0370f-8d88-492a-af20-6c7001276438,7b11a04a-9e2a-49d8-9e36-2db746e4d842,1,el,1,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
191f60e1-8af4-41cb-afd3-b3ab2288b478,0a2130f6-e568-4d39-b4d3-5a37bfee0505,0,el,1,Asia/Nicosia,,2025-11-17 16:41:20.312479+00:00,
