ZoneId,MinLat,MinLng,MaxLat,MaxLng,Name
1,34.560000,32.300000,34.660000,32.400000,Zone 1
2,34.560000,32.400000,34.660000,32.500000,Zone 2
3,34.560000,32.500000,34.660000,32.600000,Zone 3
4,34.560000,32.600000,34.660000,32.700000,Zone 4
5,34.560000,32.700000,34.660000,32.800000,Zone 5
6,34.560000,32.800000,34.660000,32.900000,Zone 6
7,34.560000,32.900000,34.660000,33.000000,Zone 7
8,34.560000,33.000000,34.660000,33.100000,Zone 8
9,34.560000,33.100000,34.660000,33.200000,Zone 9
10,34.560000,33.200000,34.660000,33.300000,Zone 10
11,34.560000,33.300000,34.660000,33.400000,Zone 11
12,34.560000,33.400000,34.660000,33.500000,Zone 12
13,34.560000,33.500000,34.660000,33.600000,Zone 13
14,34.560000,33.600000,34.660000,33.700000,Zone 14
15,34.560000,33.700000,34.660000,33.800000,Zone 15
16,34.560000,33.800000,34.660000,33.900000,Zone 16
17,34.560000,33.900000,34.660000,34.000000,Zone 17
18,34.560000,34.000000,34.660000,34.100000,Zone 18
19,34.660000,32.300000,34.760000,32.400000,Zone 19
20,34.660000,32.400000,34.760000,32.500000,Zone 20
21,34.660000,32.500000,34.760000,32.600000,Zone 21
22,34.660000,32.600000,34.760000,32.700000,Zone 22
23,34.660000,32.700000,34.760000,32.800000,Zone 23
24,34.660000,32.800000,34.760000,32.900000,Zone 24
25,34.660000,32.900000,34.760000,33.000000,Zone 25
26,34.660000,33.000000,34.760000,33.100000,Zone 26
27,34.660000,33.100000,34.760000,33.200000,Zone 27
28,34.660000,33.200000,34.760000,33.300000,Zone 28
29,34.660000,33.300000,34.760000,33.400000,Zone 29
30,34.660000,33.400000,34.760000,33.500000,Zone 30
31,34.660000,33.500000,34.760000,33.600000,Zone 31
32,34.660000,33.600000,34.760000,33.700000,Zone 32
33,34.660000,33.700000,34.760000,33.800000,Zone 33
34,34.660000,33.800000,34.760000,33.900000,Zone 34
35,34.660000,33.900000,34.760000,34.000000,Zone 35
36,34.660000,34.000000,34.760000,34.100000,Zone 36
37,34.760000,32.300000,34.860000,32.400000,Zone 37
38,34.760000,32.400000,34.860000,32.500000,Zone 38
39,34.760000,32.500000,34.860000,32.600000,Zone 39
40,34.760000,32.600000,34.860000,32.700000,Zone 40
41,34.760000,32.700000,34.860000,32.800000,Zone 41
42,34.760000,32.800000,34.860000,32.900000,Zone 42
43,34.760000,32.900000,34.860000,33.000000,Zone 43
44,34.760000,33.000000,34.860000,33.100000,Zone 44
45,34.760000,33.100000,34.860000,33.200000,Zone 45
46,34.760000,33.200000,34.860000,33.300000,Zone 46
47,34.760000,33.300000,34.860000,33.400000,Zone 47
48,34.760000,33.400000,34.860000,33.500000,Zone 48
49,34.760000,33.500000,34.860000,33.600000,Zone 49
50,34.760000,33.600000,34.860000,33.700000,Zone 50
51,34.760000,33.700000,34.860000,33.800000,Zone 51
52,34.760000,33.800000,34.860000,33.900000,Zone 52
53,34.760000,33.900000,34.860000,34.000000,Zone 53
54,34.760000,34.000000,34.860000,34.100000,Zone 54
55,34.860000,32.300000,34.960000,32.400000,Zone 55
56,34.860000,32.400000,34.960000,32.500000,Zone 56
57,34.860000,32.500000,34.960000,32.600000,Zone 57
58,34.860000,32.600000,34.960000,32.700000,Zone 58
59,34.860000,32.700000,34.960000,32.800000,Zone 59
60,34.860000,32.800000,34.960000,32.900000,Zone 60
61,34.860000,32.900000,34.960000,33.000000,Zone 61
62,34.860000,33.000000,34.960000,33.100000,Zone 62
63,34.860000,33.100000,34.960000,33.200000,Zone 63
64,34.860000,33.200000,34.960000,33.300000,Zone 64
65,34.860000,33.300000,34.960000,33.400000,Zone 65
66,34.860000,33.400000,34.960000,33.500000,Zone 66
67,34.860000,33.500000,34.960000,33.600000,Zone 67
68,34.860000,33.600000,34.960000,33.700000,Zone 68
69,34.860000,33.700000,34.960000,33.800000,Zone 69
70,34.860000,33.800000,34.960000,33.900000,Zone 70
71,34.860000,33.900000,34.960000,34.000000,Zone 71
72,34.860000,34.000000,34.960000,34.100000,Zone 72
73,34.960000,32.300000,35.060000,32.400000,Zone 73
74,34.960000,32.400000,35.060000,32.500000,Zone 74
75,34.960000,32.500000,35.060000,32.600000,Zone 75
76,34.960000,32.600000,35.060000,32.700000,Zone 76
77,34.960000,32.700000,35.060000,32.800000,Zone 77
78,34.960000,32.800000,35.060000,32.900000,Zone 78
79,34.960000,32.900000,35.060000,33.000000,Zone 79
80,34.960000,33.000000,35.060000,33.100000,Zone 80
81,34.960000,33.100000,35.060000,33.200000,Zone 81
82,34.960000,33.200000,35.060000,33.300000,Zone 82
83,34.960000,33.300000,35.060000,33.400000,Zone 83
84,34.960000,33.400000,35.060000,33.500000,Zone 84
85,34.960000,33.500000,35.060000,33.600000,Zone 85
86,34.960000,33.600000,35.060000,33.700000,Zone 86
87,34.960000,33.700000,35.060000,33.800000,Zone 87
88,34.960000,33.800000,35.060000,33.900000,Zone 88
89,34.960000,33.900000,35.060000,34.000000,Zone 89
90,34.960000,34.000000,35.060000,34.100000,Zone 90
91,35.060000,32.300000,35.160000,32.400000,Zone 91
92,35.060000,32.400000,35.160000,32.500000,Zone 92
93,35.060000,32.500000,35.160000,32.600000,Zone 93
94,35.060000,32.600000,35.160000,32.700000,Zone 94
95,35.060000,32.700000,35.160000,32.800000,Zone 95
96,35.060000,32.800000,35.160000,32.900000,Zone 96
97,35.060000,32.900000,35.160000,33.000000,Zone 97
98,35.060000,33.000000,35.160000,33.100000,Zone 98
99,35.060000,33.100000,35.160000,33.200000,Zone 99
100,35.060000,33.200000,35.160000,33.300000,Zone 100
101,35.060000,33.300000,35.160000,33.400000,Zone 101
102,35.060000,33.400000,35.160000,33.500000,Zone 102
103,35.060000,33.500000,35.160000,33.600000,Zone 103
104,35.060000,33.600000,35.160000,33.700000,Zone 104
105,35.060000,33.700000,35.160000,33.800000,Zone 105
106,35.060000,33.800000,35.160000,33.900000,Zone 106
107,35.060000,33.900000,35.160000,34.000000,Zone 107
108,35.060000,34.000000,35.160000,34.100000,Zone 108
